"date","close","volume","open","high","low"
"16:00","63.90","22,355,098","65.31","66.40","62.96"
"2015/09/21","63.9000","22339630.0000","65.3800","66.4000","62.9600"
"2015/09/18","65.7500","20102640.0000","65.4000","65.7500","64.0100"
"2015/09/17","66.0000","16565070.0000","66.4100","66.6500","65.6000"
"2015/09/16","67.2300","25796990.0000","65.6100","68.0800","65.2600"
"2015/09/15","64.8500","29008090.0000","61.4500","65.3600","61.1100"
"2015/09/14","62.6000","26705380.0000","62.5500","63.2600","61.4800"
"2015/09/11","64.6300","17727300.0000","63.3700","64.7900","62.7000"
"2015/09/10","63.8300","13279660.0000","63.5200","64.2500","63.3400"
"2015/09/09","64.0400","33098000.0000","62.7300","64.6700","62.5300"
"2015/09/08","60.9100","50077490.0000","65.7800","66.8100","60.2500"
"2015/09/04","63.9100","18145840.0000","65.4050","65.5700","63.3400"
"2015/09/03","66.4700","15751070.0000","65.8210","66.8900","65.4100"
"2015/09/02","65.5400","13331690.0000","65.6900","66.0000","64.9710"
"2015/09/01","64.8300","23440420.0000","64.3800","66.8400","64.0500"
"2015/08/31","66.1200","18450450.0000","69.1800","69.3000","66.0200"
"2015/08/28","70.0700","10577560.0000","69.6800","70.5000","69.0450"
"2015/08/27","70.8400","17694340.0000","70.8400","71.5900","70.0200"
"2015/08/26","68.6600","26331660.0000","68.9500","69.4500","65.7500"
"2015/08/25","68.5700","29439660.0000","68.8400","70.3300","67.4900"
"2015/08/24","65.8000","31366440.0000","58.1600","67.4800","58.0000"
"2015/08/21","68.1800","29074950.0000","69.3200","70.6600","68.1800"
"2015/08/20","70.3200","20952680.0000","71.9800","72.7800","70.0300"
"2015/08/19","73.1200","18172780.0000","73.1500","73.5600","72.8100"
"2015/08/18","73.8800","11119290.0000","74.0500","75.1300","73.7300"
"2015/08/17","75.1900","12656640.0000","74.8500","75.2400","74.1600"
"2015/08/14","74.7600","12321870.0000","74.5300","75.4900","74.4600"
"2015/08/13","75.1100","23178840.0000","74.0000","76.7300","73.6600"
"2015/08/12","73.3800","41149810.0000","72.3200","73.8500","71.0300"
"2015/08/11","77.3400","22889700.0000","79.4810","80.0000","76.1500"
"2015/08/10","80.4700","11240080.0000","79.8600","80.9900","79.5000"
"2015/08/07","78.8200","8723472.0000","79.6500","80.2000","78.6600"
"2015/08/06","78.9600","9281352.0000","79.8500","80.7500","78.6400"
"2015/08/05","79.8200","7476442.0000","79.5900","80.4200","79.4800"
"2015/08/04","78.8700","8485033.0000","78.0700","79.3540","77.8000"
"2015/08/03","77.9900","9263379.0000","78.2000","78.5000","77.1100"
"2015/07/31","78.3400","12588690.0000","79.8500","79.9050","78.2000"
"2015/07/30","79.9600","6849318.0000","80.1100","80.6400","79.4500"
"2015/07/29","80.2600","7148103.0000","80.9800","81.3689","80.0100"
"2015/07/28","80.5600","12102020.0000","80.6700","80.8000","79.2500"
"2015/07/27","81.4000","12101800.0000","80.8500","81.7000","79.6800"
"2015/07/24","83.0200","8728740.0000","85.1700","85.3800","82.6500"
"2015/07/23","83.8800","7413160.0000","84.6600","84.9700","83.2500"
"2015/07/22","84.1500","11189880.0000","82.1600","84.7500","82.0000"
"2015/07/21","82.5400","5726138.0000","83.1100","83.2500","82.2200"
"2015/07/20","82.6700","8121285.0000","83.5600","83.6800","82.0500"
"2015/07/17","83.3600","14479080.0000","81.9900","83.7000","81.5800"
"2015/07/16","81.5300","8570022.0000","81.3900","82.0000","80.9000"
"2015/07/15","80.7300","9509203.0000","80.9000","81.5000","80.2100"
"2015/07/14","81.5000","7513216.0000","81.5800","82.0200","81.1301"
"2015/07/13","81.8600","10321770.0000","80.9200","82.2000","80.7000"
"2015/07/10","80.3000","11218440.0000","81.1300","81.2000","79.8400"
"2015/07/09","79.0400","19766980.0000","80.9300","81.1900","79.0400"
"2015/07/08","77.9400","22664420.0000","76.5800","78.7900","76.2200"
"2015/07/07","79.6200","34215050.0000","79.4500","79.7900","76.2100"
"2015/07/06","80.2300","11648780.0000","80.5600","81.5000","80.1200"
"2015/07/02","82.0700","6755965.0000","82.1200","82.3200","81.7800"
"2015/07/01","82.4600","5943523.0000","82.6000","83.0000","81.9900"
"2015/06/30","82.2700","12592550.0000","82.5800","83.6900","81.9600"
"2015/06/29","81.0700","15171110.0000","81.6400","82.8800","80.8000"
"2015/06/26","83.2800","12650160.0000","84.6300","84.6500","82.8200"
"2015/06/25","85.2400","8920327.0000","85.4700","85.6000","84.9000"
"2015/06/24","85.1700","9432304.0000","85.1630","85.8100","84.8500"
"2015/06/23","85.0800","11401180.0000","85.9800","86.3400","84.8300"
"2015/06/22","85.6800","7131306.0000","86.0700","86.4000","85.5800"
